Overriding config with ../config/train_pride_prejudice_char_256_width.py:
# Pride and Prejudice 256-width configuration
out_dir = '../Weights/out-pride-prejudice'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'pride_prejudice'

dataset = 'pride_prejudice_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 4
n_embd = 256
dropout = 0.2

learning_rate = 1e-3
max_iters = 1500
lr_decay_iters = 1500
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'mps'    # Apple Silicon MPS backend for the reduced bonus rerun
compile = False   # keep False for MPS

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/pride_prejudice_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 4.74M
num decayed parameter tensors: 26, with 4,800,768 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
iter 840: loss 1.5796, time 616.47ms, mfu 0.25%
iter 850: loss 1.5551, time 546.62ms, mfu 0.26%
iter 860: loss 1.5183, time 539.14ms, mfu 0.27%
iter 870: loss 1.5530, time 533.84ms, mfu 0.27%
iter 880: loss 1.5572, time 548.01ms, mfu 0.28%
iter 890: loss 1.5586, time 605.57ms, mfu 0.28%
iter 900: loss 1.5707, time 531.86ms, mfu 0.28%
iter 910: loss 1.5133, time 567.47ms, mfu 0.29%
iter 920: loss 1.5400, time 532.31ms, mfu 0.29%
iter 930: loss 1.5518, time 530.19ms, mfu 0.29%
iter 940: loss 1.5092, time 532.31ms, mfu 0.30%
iter 950: loss 1.5225, time 531.86ms, mfu 0.30%
iter 960: loss 1.5083, time 534.64ms, mfu 0.30%
iter 970: loss 1.5058, time 534.25ms, mfu 0.30%
iter 980: loss 1.5147, time 582.34ms, mfu 0.30%
iter 990: loss 1.5346, time 548.16ms, mfu 0.31%
step 1000: train loss 1.4126, val loss 1.6156
saving checkpoint to ../Weights/out-pride-prejudice
iter 1000: loss 1.4789, time 69956.63ms, mfu 0.28%
iter 1010: loss 1.5154, time 563.06ms, mfu 0.28%
iter 1020: loss 1.4776, time 618.10ms, mfu 0.28%
iter 1030: loss 1.4717, time 583.42ms, mfu 0.28%
iter 1040: loss 1.5205, time 619.47ms, mfu 0.28%
iter 1050: loss 1.4978, time 601.22ms, mfu 0.28%
iter 1060: loss 1.5013, time 598.06ms, mfu 0.28%
iter 1070: loss 1.4735, time 690.18ms, mfu 0.28%
iter 1080: loss 1.4761, time 574.02ms, mfu 0.28%
iter 1090: loss 1.4551, time 622.75ms, mfu 0.28%
iter 1100: loss 1.4794, time 688.03ms, mfu 0.28%
iter 1110: loss 1.4845, time 640.45ms, mfu 0.28%
iter 1120: loss 1.4438, time 648.53ms, mfu 0.28%
iter 1130: loss 1.4830, time 651.18ms, mfu 0.28%
iter 1140: loss 1.4628, time 622.43ms, mfu 0.28%
iter 1150: loss 1.4681, time 626.98ms, mfu 0.28%
iter 1160: loss 1.4516, time 575.26ms, mfu 0.28%
iter 1170: loss 1.4699, time 722.72ms, mfu 0.28%
iter 1180: loss 1.4345, time 592.87ms, mfu 0.28%
iter 1190: loss 1.4505, time 786.62ms, mfu 0.27%
iter 1200: loss 1.4806, time 705.55ms, mfu 0.27%
iter 1210: loss 1.4806, time 580.89ms, mfu 0.27%
iter 1220: loss 1.4241, time 586.01ms, mfu 0.27%
iter 1230: loss 1.4439, time 814.81ms, mfu 0.27%
iter 1240: loss 1.4228, time 526.81ms, mfu 0.27%
step 1250: train loss 1.3540, val loss 1.5653
saving checkpoint to ../Weights/out-pride-prejudice
iter 1250: loss 1.4305, time 71043.70ms, mfu 0.25%
iter 1260: loss 1.4553, time 560.26ms, mfu 0.25%
iter 1270: loss 1.4245, time 536.52ms, mfu 0.26%
iter 1280: loss 1.4189, time 587.32ms, mfu 0.26%
iter 1290: loss 1.4195, time 582.48ms, mfu 0.27%
iter 1300: loss 1.4027, time 556.06ms, mfu 0.27%
iter 1310: loss 1.4663, time 587.21ms, mfu 0.27%
iter 1320: loss 1.4182, time 570.08ms, mfu 0.28%
iter 1330: loss 1.4366, time 542.05ms, mfu 0.28%
iter 1340: loss 1.4385, time 619.67ms, mfu 0.28%
iter 1350: loss 1.4379, time 585.70ms, mfu 0.28%
iter 1360: loss 1.4276, time 572.06ms, mfu 0.29%
iter 1370: loss 1.4124, time 576.93ms, mfu 0.29%
iter 1380: loss 1.4120, time 547.50ms, mfu 0.29%
iter 1390: loss 1.4332, time 564.06ms, mfu 0.29%
iter 1400: loss 1.4335, time 548.19ms, mfu 0.29%
iter 1410: loss 1.4114, time 565.21ms, mfu 0.30%
iter 1420: loss 1.3978, time 558.25ms, mfu 0.30%
iter 1430: loss 1.4051, time 551.06ms, mfu 0.30%
iter 1440: loss 1.4250, time 554.94ms, mfu 0.30%
iter 1450: loss 1.3822, time 539.41ms, mfu 0.30%
iter 1460: loss 1.3970, time 532.69ms, mfu 0.31%
iter 1470: loss 1.4393, time 554.58ms, mfu 0.31%
iter 1480: loss 1.3980, time 523.24ms, mfu 0.31%
iter 1490: loss 1.4135, time 543.08ms, mfu 0.31%
step 1500: train loss 1.3239, val loss 1.5445
saving checkpoint to ../Weights/out-pride-prejudice
iter 1500: loss 1.3691, time 64722.93ms, mfu 0.28%
