Overriding config with ../config/train_pride_prejudice_char_64_context.py:
# Pride and Prejudice 64-context configuration
out_dir = '../Weights/out-pride-prejudice-64_context'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'pride_prejudice_64_context'

dataset = 'pride_prejudice_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 64

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3
max_iters = 1500
lr_decay_iters = 1500
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'mps'    # Apple Silicon MPS backend for the reduced bonus rerun
compile = False   # keep False for MPS

tokens per iteration will be: 4,096
found vocab_size = 65 (inside data/pride_prejudice_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 840: loss 1.5905, time 317.66ms, mfu 0.25%
iter 850: loss 1.6124, time 299.52ms, mfu 0.25%
iter 860: loss 1.6407, time 300.10ms, mfu 0.26%
iter 870: loss 1.5924, time 297.24ms, mfu 0.26%
iter 880: loss 1.6361, time 296.88ms, mfu 0.26%
iter 890: loss 1.5684, time 288.25ms, mfu 0.27%
iter 900: loss 1.5440, time 298.69ms, mfu 0.27%
iter 910: loss 1.6396, time 292.91ms, mfu 0.27%
iter 920: loss 1.5860, time 295.81ms, mfu 0.27%
iter 930: loss 1.5678, time 292.07ms, mfu 0.28%
iter 940: loss 1.5725, time 286.08ms, mfu 0.28%
iter 950: loss 1.5808, time 289.75ms, mfu 0.28%
iter 960: loss 1.5754, time 294.48ms, mfu 0.28%
iter 970: loss 1.5430, time 289.06ms, mfu 0.28%
iter 980: loss 1.5276, time 293.60ms, mfu 0.28%
iter 990: loss 1.5166, time 289.72ms, mfu 0.29%
step 1000: train loss 1.4871, val loss 1.6716
saving checkpoint to ../Weights/out-pride-prejudice-64_context
iter 1000: loss 1.5894, time 35468.86ms, mfu 0.26%
iter 1010: loss 1.5769, time 322.32ms, mfu 0.26%
iter 1020: loss 1.5368, time 292.22ms, mfu 0.26%
iter 1030: loss 1.5661, time 299.28ms, mfu 0.26%
iter 1040: loss 1.5972, time 313.44ms, mfu 0.27%
iter 1050: loss 1.5867, time 294.76ms, mfu 0.27%
iter 1060: loss 1.5812, time 302.04ms, mfu 0.27%
iter 1070: loss 1.5601, time 307.84ms, mfu 0.27%
iter 1080: loss 1.5451, time 307.73ms, mfu 0.27%
iter 1090: loss 1.5146, time 319.55ms, mfu 0.27%
iter 1100: loss 1.5877, time 305.47ms, mfu 0.27%
iter 1110: loss 1.5553, time 313.78ms, mfu 0.27%
iter 1120: loss 1.5002, time 326.38ms, mfu 0.27%
iter 1130: loss 1.5582, time 300.70ms, mfu 0.27%
iter 1140: loss 1.5342, time 302.87ms, mfu 0.27%
iter 1150: loss 1.4862, time 287.89ms, mfu 0.28%
iter 1160: loss 1.5569, time 358.27ms, mfu 0.27%
iter 1170: loss 1.5052, time 293.99ms, mfu 0.28%
iter 1180: loss 1.5299, time 347.98ms, mfu 0.27%
iter 1190: loss 1.5169, time 361.33ms, mfu 0.27%
iter 1200: loss 1.4901, time 254.05ms, mfu 0.28%
iter 1210: loss 1.5128, time 283.30ms, mfu 0.28%
iter 1220: loss 1.5469, time 268.32ms, mfu 0.28%
iter 1230: loss 1.5039, time 255.89ms, mfu 0.29%
iter 1240: loss 1.4739, time 206.12ms, mfu 0.30%
step 1250: train loss 1.4334, val loss 1.6225
saving checkpoint to ../Weights/out-pride-prejudice-64_context
iter 1250: loss 1.5481, time 36034.33ms, mfu 0.27%
iter 1260: loss 1.4995, time 297.92ms, mfu 0.27%
iter 1270: loss 1.5154, time 289.06ms, mfu 0.28%
iter 1280: loss 1.4908, time 333.33ms, mfu 0.27%
iter 1290: loss 1.4009, time 299.63ms, mfu 0.28%
iter 1300: loss 1.4703, time 296.24ms, mfu 0.28%
iter 1310: loss 1.5390, time 283.85ms, mfu 0.28%
iter 1320: loss 1.5300, time 305.43ms, mfu 0.28%
iter 1330: loss 1.4427, time 296.86ms, mfu 0.28%
iter 1340: loss 1.4921, time 292.21ms, mfu 0.28%
iter 1350: loss 1.5084, time 288.74ms, mfu 0.28%
iter 1360: loss 1.4432, time 288.82ms, mfu 0.29%
iter 1370: loss 1.4177, time 306.43ms, mfu 0.29%
iter 1380: loss 1.4723, time 295.43ms, mfu 0.29%
iter 1390: loss 1.4226, time 304.84ms, mfu 0.29%
iter 1400: loss 1.4172, time 335.68ms, mfu 0.28%
iter 1410: loss 1.4730, time 306.24ms, mfu 0.28%
iter 1420: loss 1.4443, time 294.01ms, mfu 0.28%
iter 1430: loss 1.4375, time 301.51ms, mfu 0.28%
iter 1440: loss 1.4692, time 297.06ms, mfu 0.28%
iter 1450: loss 1.4250, time 300.51ms, mfu 0.28%
iter 1460: loss 1.4569, time 300.75ms, mfu 0.28%
iter 1470: loss 1.4266, time 309.22ms, mfu 0.28%
iter 1480: loss 1.4453, time 298.97ms, mfu 0.28%
iter 1490: loss 1.4654, time 297.95ms, mfu 0.29%
step 1500: train loss 1.3987, val loss 1.6012
saving checkpoint to ../Weights/out-pride-prejudice-64_context
iter 1500: loss 1.4871, time 36093.65ms, mfu 0.26%
